Enddate,Name,Region,ID,Headline,Copyright
20240501,NienhagenMecklenburg,DE-DE,3604963569,"Vor lauter Bäumen den Wald nicht sehen","Weg durch den Gespensterwald bei Sonnenaufgang, Nienhagen, Mecklenburg-Vorpommern (© Martin Ruegner/Getty Images)"
20240502,CratersOfTheMoon,DE-DE,3535189706,"Mondlandschaften","Blue Dragon Lava Flow, Craters of the Moon National Monument, Idaho, USA (© Alan Majchrowicz/Getty Images)"
20240503,SonoranSpring,DE-DE,9357801866,"Wüstenblumen","Im Frühling blühende Sträucher, Sonora-Wüste, Arizona, USA (© Charles Harker/Getty Images)"
20240504,JediMonastery,DE-DE,1926121276,"Möge die Kraft mit Ihnen sein","Die Ruinen eines alten Klosters auf der Insel Skellig Michael, Irland (© MNStudio/Getty Images)"
20240505,SanMiguelAllende,DE-DE,2308730889,"Viva México!","Kolonnade in San Miguel de Allende, Guanajuato, Mexiko (© Mint Images/Getty Images)"
20240506,TheRoachesPeakDistrict,DE-DE,5320650823,"Ein Blick in den Peak District","The Roaches, Peak District, Vereinigtes Königreich (© George W Johnson/Getty Images)"
20240507,SuspensionBridge,DE-DE,5413963074,"Brücken verbinden, Distanzen überwinden","Titan RT - Fußgänger-Hängebrücke über Rappbodetalsperre und Rappbode im Nationalpark Harz, Sachsen-Anhalt (© Sander Meertins/Getty Images)"
20240508,PortMarseille,DE-DE,3194394496,"海港景色","伊夫堡，马赛，法国 (© Sergii Figurnyi/Alamy)"
20240509,EmirganPark,DE-DE,6431860562,"Orientalische Blumenteppiche","Tulpen im Emirgan-Park in Istanbul, Türkei (© Ozbalci/Getty Images)"
20240510,MisoolRajaAmpat,DE-DE,6830111784,"Ruf der Inseln","Misool, Raja Ampat, Archipel, Indonesien (© Giordano Cipriani/Getty Images)"
20240511,BlueCityIndia,DE-DE,7777501336,"Ein blaues Wunder der anderen Art","Die „Blaue Stadt“ Jodhpur, Rajasthan, Indien (© cinoby/Getty Images)"
20240512,GuanacoMother,DE-DE,8465520187,"Fröhlichen Muttertag!","Guanako-Weibchen und neugeborenes Baby im Grasland, La Pampa, Argentinien (© Gabriel Rojo/Minden Pictures)"
20240513,NamibiaCanyon,DE-DE,8827731731,"Weite Himmel, unendliche Schluchten","Fischfluss-Canyon, Namibia (© R. M. Nunes/Getty Images)"
20240514,CarlsbadNP,DE-DE,9906842955,"Geologische Größe","Gang der in den Big Room führt, Carlsbad-Caverns-Nationalpark, New Mexico, USA (© Doug Meek/Getty Images)"
20240515,RiverNekarHeidelberg,DE-DE,0017451449,"Deutsches Postkartenidyll","Blick über den Fluss Neckar auf das Stadtbild von Heidelberg, Baden-Württemberg (© Juergen Sack/Getty Images)"
20240516,DayOfLight,DE-DE,0376737244,"Eine neue Dimension?","„Gefühle sind Fakten“, Künstler Olafur Eliasson und Architekt Ma Yansong, Peking, China (© Feng Li/Getty Images News)"
