Enddate,Name,Region,ID,Headline,Copyright
20240501,TeaGarden2024,JA-JP,5324737275,"今日は八十八夜","和束町の茶畑, 京都府 (© Tuul &amp; Bruno Morandi/Getty Images)"
20240502,CratersOfTheMoon,JA-JP,5423756803,"月面と思わせるユニークな風景","月のクレーター国立公園, 米国 アイダホ州 (© Alan Majchrowicz/Getty Images)"
20240503,SonoranSpring,JA-JP,1708087750,"春に咲くブリトルブッシュ","ソノラ砂漠, 米国 アリゾナ州 (© Charles Harker/Getty Images)"
20240504,JediMonastery,JA-JP,7788266024,"今日はスター・ウォーズの日","シュケリッグ・ヴィヒルの古代修道院跡 , アイルランド (© MNStudio/Getty Images)"
20240505,ChildrenDay2024,JA-JP,8175282270,"今日は「こどもの日」","大歩危峡に泳ぐ鯉のぼり, 徳島県 (© fz750/Getty Images)"
20240506,TheRoachesPeakDistrict,JA-JP,3004843172,"ローチと呼ばれる岩の尾根","ピークディストリクト国立公園, イギリス (© George W Johnson/Getty Images)"
20240507,BlueCityIndia,JA-JP,8642255541,"ブルーに彩られた町","ジョードプル, インド ラージャスターン州 (© cinoby/Getty Images)"
20240508,PortMarseille,JA-JP,3194394496,"海港景色","伊夫堡，马赛，法国 (© Sergii Figurnyi/Alamy)"
20240509,EmirganPark,JA-JP,9127414605,"色とりどりのチューリップ","エミルギャン公園, トルコ (© Ozbalci/Getty Images)"
20240510,MisoolRajaAmpat,JA-JP,9378923555,"穏やかな海と青空","ミソール島, インドネシア  (© Giordano Cipriani/Getty Images)"
20240511,TexasIndigoBunting,JA-JP,9651791616,"今日は世界渡り鳥の日","枝にとまるルリノジコ, 米国 テキサス州 (© Jeff R Clow/Getty Images)"
20240512,GuanacoMother,JA-JP,0047652462,"今日は母の日","グアナコの母子, アルゼンチン ラ・パンパ州 (© Gabriel Rojo/Minden Pictures)"
20240513,NamibiaCanyon,JA-JP,0410618255,"アフリカ最大の渓谷","フィッシュリバー・キャニオン, ナミビア (© R. M. Nunes/Getty Images)"
